europeana_id,dcFormat,dctermsExtent,dcPublisher,dcRights,dcSource
/1176/item_WQ2VR7VZF6CXXEHX3JGPQ4FES7WQL4JA,http://data.europeana.eu/concept/1766; http://data.europeana.eu/concept/1757; http://vocab.getty.edu/aat/300010662; Filz (Material); http://vocab.getty.edu/aat/300010900,Gesamt: Höhe: 20 cm; Durchmesser: 16 cm (Durchmesser (max.)),,LVR-Freilichtmuseum Kommern,
/1176/item_YOFIZUU6M4R32FASS2UR6R5VRNTSVGP6,https://d-nb.info/gnd/4021190-3; https://d-nb.info/gnd/4127840-9,,,LVR-Freilichtmuseum Kommern,
/1176/item_YPZ6ZDF3MZMRGQ6ITUHXGIBGN24GURH2,https://d-nb.info/gnd/4021190-3; https://d-nb.info/gnd/4127840-9,Gesamt: Höhe: 14 cm,,LVR-Freilichtmuseum Kommern,
/1176/item_ZFHAPAXEFSLLD565O6DKYXESJGHFPMZ7,http://vocab.getty.edu/aat/300223016,"Gesamt: Breite: 16,5 cm; Tiefe: 16,5 cm; Höhe: 11 cm",,LVR-Freilichtmuseum Kommern,
/1176/item_ZGLS5PJMXGBWLQXEYWGANV3UJWLIYGZQ,https://d-nb.info/gnd/4021190-3; https://d-nb.info/gnd/4127840-9,"Gesamt: Höhe: 18,2 cm; Bodendurchmesser: 15,5 cm",,LVR-Freilichtmuseum Kommern,
/1176/item_ZIIB6WVHTHH4O7FDM4FMFQL35TXWLUYG,http://data.europeana.eu/concept/1766; http://vocab.getty.edu/aat/300010900,"Gesamt: Breite: 22 cm; Tiefe: 17,5 cm; Höhe: 20,5 cm",,LVR-Freilichtmuseum Kommern,
/1176/item_ZLDQO45EAB37BN25D3K4WI7Q4624CUX2,https://d-nb.info/gnd/4021190-3; https://d-nb.info/gnd/4127840-9,Gesamt: Höhe: 24 cm,,LVR-Freilichtmuseum Kommern,
/1333/BOTANYXAMDX79587,,,,,
/1333/BOTANYXWAGX1103084,,,,,
/1332/BOTANYXLX3363135,,,,,
/1332/BOTANYXLX3363189,,,,,
/1332/BOTANYXWAGX1103083,,,,,
/1324/BOTANYXLX3363132,,,,,
/1324/BOTANYXLX3363236,,,,,
/1324/BOTANYXLX3798542,,,,,
/1324/BOTANYXWAGX1103080,,,,,
/1323/BOTANYXLX3363193,,,,,
/1311/BOTANYXAMDX79579,,,,,
/1310/BOTANYXLX2700712,,,,,
/1292/BOTANYXLX3363131,,,,,
/1292/BOTANYXLX3363210,,,,,
/1292/BOTANYXWAGX1103072,,,,,
/1291/BOTANYXAMDX79582,,,,,
/957/GMLC_343_001,Longueur : 0.2 m ; Largeur : 0 m ; Hauteur : 0.17 m,,,Mobilier national,
/957/GMLC_343_002,Longueur : 0.09 m ; Largeur : 0 m ; Hauteur : 0.16 m,,,Mobilier national,
/957/GMLC_343_003,Longueur : 0.1 m ; Largeur : 0 m ; Hauteur : 0.16 m,,,Mobilier national,
/957/GMLC_343_004,Longueur : 0.1 m ; Largeur : 0 m ; Hauteur : 0.17 m,,,Mobilier national,
/957/GMLC_732_002,Longueur : 0.22 m ; Largeur : 0.13 m ; Hauteur : 0.12 m,,,Mobilier national,
/957/GMLC_750_004,Longueur : 0.15 m ; Largeur : 0 m ; Hauteur : 0.14 m,,,Mobilier national,
/957/GMLC_752_001,Longueur : 0.16 m ; Largeur : 0 m ; Hauteur : 0.18 m,,,Mobilier national,
/957/GMLC_752_002,Longueur : 0.16 m ; Largeur : 0.1 m ; Hauteur : 0.09 m,,,Mobilier national,
/957/GMLC_752_003,Longueur : 0.12 m ; Largeur : 0 m ; Hauteur : 0.14 m,,,Mobilier national,
/957/GMLC_752_004,Longueur : 0.39 m ; Largeur : 0 m ; Hauteur : 0.03 m,,,Mobilier national,
/957/GML_10489_000,Longueur : 0 m ; Largeur : 0.25 m ; Hauteur : 0.255 m,,,Mobilier national,
/192/item_CYSF5ACYMH7EQHCVQESJAWDYL76M5YUG,"Kupfer innen verzinnt, Holz, Messing (Material/Technik); Kupfer innen verzinnt, Holz, Messing (Material)","Höhe: 14 cm, Durchmesser: 14 cm, Stückzahl: 1, Griff 17 cm",,Freilichtmuseum Roscheider Hof,
/192/item_HSZIYBB3O6E5HFRUOTM3TZRRO6AYZI3N,ZInkguss (Material); ZInkguss (Material/Technik),"Länge: 27 cm, Höhe: 21 cm, Durchmesser: 20 cm, Stückzahl: 1",,Freilichtmuseum Roscheider Hof,
/2058611/_kimnet_cho_0afb8665_b984_724a_90d5_ca0b804f85a9,,,,,Museen Muttenz
/2058611/_kimnet_cho_550f39f2_c51e_6742_a785_2a12065739db,,,,,Museen Muttenz
/2058611/_kimnet_cho_65c2cda9_edcc_ff4c_87ce_f835f531bc4b,,,,,Museen Muttenz
/2058611/_kimnet_cho_b5a4cd7c_17d0_c948_a402_308bd622e0c4,,,,,Museen Muttenz
/206/item_5M24DFIULOWOYIOF4MK4TOPBQG3AO6DK,,,,,
/1236/item_22G3PTPCIR4C6HFZBG4JM6ECVKX3DUDH,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 8.0 cm (Deckel); Breite: 12.0 cm, Durchmesser: 8.5 cm",,Badisches Landesmuseum,
/1236/item_23OQ4QMWDX6VP6NOIJNVZG6BFMOTUNRD,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Höhe: 10.7 cm, Breite: 12.3 cm, Länge: 19.3 cm",,Badisches Landesmuseum,
/1236/item_26TJJPNFQTNA43LV3PG6XBP7IQMMH3DU,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 21.0 cm, Breite: 14.0 cm (Gesamt); Höhe: 4.5 cm, Durchmesser: 7.4 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_2AX6BIUSCHTISEBPWDKCNTDF4KA2EZKH,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Durchmesser: 6.4 cm (Standring); Höhe: 19.5 cm, Durchmesser: 11.0 cm (Gesamt); Durchmesser: 6.8 cm (Hals)",,Badisches Landesmuseum,
/1236/item_33CMNHRNSPSP4ON2NEZ6SRYGN5BVTLW6,gebrannt (Material/Technik); gegossen (Material/Technik); glasiert (Material/Technik),"Höhe: 7.5 cm, Länge: 10.5 cm, Durchmesser: 7.5 cm",,Badisches Landesmuseum,
/1236/item_3W2WHFP7CFOA4AHSPZ7MQVWZ36IDHSQ4,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Durchmesser: 7.4 cm (Standring); Höhe: 3.0 cm, Durchmesser: 14.0 cm (Untertasse)",,Badisches Landesmuseum,
/1236/item_4EFY4R2OCZROGYVGIQ6X5R5FJVR4PZ7S,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 4.7 cm, Durchmesser: 7.5 cm",,Badisches Landesmuseum,
/1236/item_4FAIOKYXIA2UE3CYHU7FT5LOEM33CNH3,gebrannt (Material/Technik); gegossen (Material/Technik); glasiert (Material/Technik),"Höhe: 7.0 cm, Länge: 9.5 cm, Durchmesser: 7.2 cm",,Badisches Landesmuseum,
/1236/item_4LANF6V2H6CRDNNR33SVK3OVRAZJARMH,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Länge: 21.0 cm, Durchmesser: 13.5 cm; Höhe: 5.0 cm, Durchmesser: 9.0 cm (Deckel); Höhe: 16.0 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_4PDEXJIDDS4U5WKDMJUHQ77H4S75P2PH,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Höhe: 24.0 cm, Durchmesser: 12.5 cm",,Badisches Landesmuseum,
/1236/item_5A36Z3ZS4ABVHHT3J4KB77BRQ6ZYXYS5,gebrannt (Material/Technik); glasiert (Material/Technik); geformt (Material/Technik),"Durchmesser: 23.2 cm, Höhe: 4.1 cm",,Badisches Landesmuseum,
/1236/item_5F4OARJUY4IGUR7733NZMVZHIQFYB6PH,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 4.4 cm, Durchmesser: 7.6 cm",,Badisches Landesmuseum,
/1236/item_5H43I5J3Y6QW5LJCR2YA7HZ2EPUKGZYI,bemalt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 12.1 cm, Breite: 11.2 cm, Tiefe: 8.0 cm",,Badisches Landesmuseum,
/1236/item_6HAOC6VKRKTVBDZ64OMJMUKT6R767U5W,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 14.5 cm, Durchmesser: 9.5 cm (Gefäß); Durchmesser: 5.5 cm (Standring); Höhe: 2.5 cm, Durchmesser: 5.0 cm (Deckel); Höhe: 16.0 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_6IYO7J62JDLXADXY7SIZVSGZNQLVVHLD,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/229; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4152058-0; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Durchmesser: 4.1 cm (Standring); Höhe: 4.9 cm, Durchmesser: 8.7 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_6KM3YFCJETAJFHZNS3CXJNNBAOWDCZZD,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 13.2 cm, Länge: 23.0 cm; Höhe: 17.5 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_6NLZ7NBIAZU5D5ECXZGNP3BRA3BTC73B,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Durchmesser: 7.2 cm (Standring); Höhe: 3.0 cm, Durchmesser: 13.8 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_6UF4ID6O6A2I3AOI6VHPREBJRFW3UJ5A,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 15.7 cm, Höhe: 1.7 cm (Untertasse); Höhe: 4.4 cm, Breite: 11.5 cm, Durchmesser: 9.8 cm (Tasse)",,Badisches Landesmuseum,
/1236/item_6VFQIK2EVHHUTNJNCWNQORCMB6G7CS3G,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 3.9 cm, Durchmesser: 26.5 cm",,Badisches Landesmuseum,
/1236/item_6WKJIJCJQTGPXAPACN7SN7ZHAVVBQYCJ,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 7.0 cm, Durchmesser: 6.8 cm (Gesamt); Durchmesser: 3.8 cm (Standring)",,Badisches Landesmuseum,
/1236/item_6ZC3APXOIEFRLUUHW4USQ64UZJ2I2T5Y,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 12.0 cm, Länge: 25.0 cm, Durchmesser: 16.0 cm; Höhe: 4.5 cm, Durchmesser: 8.2 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_7DSYGMLLRR4OS32EIKVP4SJKF2VUX5FZ,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 23.6 cm, Höhe: 2.3 cm",,Badisches Landesmuseum,
/1236/item_7UCOI5H4D54LP3V7CJYCFYOF22KBNDTB,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 12.5 cm (Gesamt); Durchmesser: 15.0 cm, Länge: 23.5 cm",,Badisches Landesmuseum,
/1236/item_7W74H2C5HQSUKKHTMBBYPNYKCGITYBMS,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 14.5 cm, Durchmesser: 10.2 cm, Länge: 17.3 cm",,Badisches Landesmuseum,
/1236/item_7YQ3W3LDB7DLFIRZE4EFB6NXVZBM4EBA,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 6.0 cm, Durchmesser: 11.7 cm (Deckel); Höhe: 11.5 cm (Gesamt); Durchmesser: 7.5 cm (Standring); Durchmesser: 11.5 cm (Rand)",,Badisches Landesmuseum,
/1236/item_A5AWJXVR335X7DSFHQY4UJPVPIBP664P,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 8.5 cm, Durchmesser: 18.0 cm",,Badisches Landesmuseum,
/1236/item_A6XUOB662N3J3Y4HAM4TL465RMAWCRLO,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Breite: 13.1 cm, Tiefe: 8.2 cm; Höhe: 18.0 cm, Durchmesser: 9.5 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_AI3IUBWCPYLJ7K4OFNH57NYDBTH7JO76,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 2.9 cm, Durchmesser: 13.0 cm",,Badisches Landesmuseum,
/1236/item_AMY5DBYYFMKOAAEB22LD3NGS3UEGLCBX,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),Höhe: 7.0 cm (Tasse); Durchmesser: 3.8 cm (Standring); Durchmesser: 6.8 cm (Lippenrand),,Badisches Landesmuseum,
/1236/item_ARNDUSCGCHPPXZZZXNIN2KYJKMKIFQ2V,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Höhe: 10.0 cm, Durchmesser: 11.0 cm",,Badisches Landesmuseum,
/1236/item_BG66V4R6WSWRWZ4CZHEC3BOCQSVA3XLO,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 2.8 cm, Durchmesser: 13.8 cm (Gesamt); Durchmesser: 7.3 cm (Standring)",,Badisches Landesmuseum,
/1236/item_BUVJXR6M43C6NQQOVSIPRF5NMG3QWIX5,https://d-nb.info/gnd/4127928-1; glasiert (Material/Technik),"Durchmesser: 7.7 cm (Standring); Höhe: 23.0 cm, Durchmesser: 11.3 cm (Gesamt); Durchmesser: 7.8 cm (Hals)",,Badisches Landesmuseum,
/1236/item_BVX6U77AJ4ALEHW2GTPMOYFYUJA3OLSL,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; geformt (Material/Technik); bemalt (Material/Technik); gebrannt (Material/Technik); gegossen (Material/Technik),,,Badisches Landesmuseum,
/1236/item_C44GHCKWUOGTUYAAGEYNH4RFXEM2RF43,gebrannt (Material/Technik); gegossen (Material/Technik); glasiert (Material/Technik),"Höhe: 12.0 cm, Länge: 25.0 cm, Durchmesser: 16.0 cm; Höhe: 4.5 cm, Durchmesser: 8.2 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_CC3EVLILQUQCMX3EDNPFWYTPW24CAFMP,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 13.4 cm, Breite: 7.3 cm, Tiefe: 4.9 cm (Gesamt); Höhe: 3.0 cm, Durchmesser: 3.9 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_CM2CMDWJ4AUYIOGM5W35Y5GGJQK7FI72,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); https://d-nb.info/gnd/4722912-3; gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 12.5 cm, Breite: 15.0 cm, Tiefe: 10.0 cm (Gesamt); Höhe: 3.5 cm, Durchmesser: 6.5 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_CS4KWBZOCPJT3NS2ZUBIXMXCYPWOLUGQ,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 2.7 cm, Durchmesser: 14.0 cm",,Badisches Landesmuseum,
/1236/item_DFENZVJKOLE45GUL4WJCNXGAQYHVEWTP,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 2.5 cm, Durchmesser: 6.7 cm (Deckel); Höhe: 16.4 cm, Breite: 13.8 cm, Tiefe: 11.0 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_DH72KRWULMX5DXXGMVXQHHOUHB2DZEOJ,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 4.6 cm, Durchmesser: 7.5 cm",,Badisches Landesmuseum,
/1236/item_DLN5LY4FCUH5P632VWXBIPUANAZ2UPGU,http://data.europeana.eu/concept/1773; https://d-nb.info/gnd/4190888-0,Höhe: 21.5 cm,,Badisches Landesmuseum,
/1236/item_DMGB2DXVC562IY7DRESSZJYJHH2A5KKF,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 1.8 cm, Durchmesser: 14.0 cm (Untertasse); Höhe: 6.2 cm, Breite: 9.9 cm, Durchmesser: 7.5 cm (Tasse)",,Badisches Landesmuseum,
/1236/item_DVXSUE6TPKNROWZJUFHWHHEOTZKMPDR3,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1766; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4038860-8; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 3.9 cm, Durchmesser: 8.0 cm (Deckel); Durchmesser: 8.0 cm (Fuß); Höhe: 22.5 cm, Durchmesser: 15.5 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_ETIYVMJNLHMXL4ANP3RPPPBCDVQAIGDY,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 2.9 cm, Durchmesser: 12.9 cm",,Badisches Landesmuseum,
/1236/item_ETTYKCXE53TLYJM4FVH5JRTPJRS55XFB,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Höhe: 21.2 cm, Durchmesser: 12.0 cm",,Badisches Landesmuseum,
/1236/item_EVOO4NZKYXTUASC4VVNGI63XKN2BB3AB,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 1.8 cm, Durchmesser: 15.0 cm (Untertasse); Höhe: 2.3 cm, Durchmesser: 19.5 cm (Teller); Höhe: 5.0 cm, Breite: 11.0 cm, Durchmesser: 10.0 cm (Tasse)",,Badisches Landesmuseum,
/1236/item_EZBDQYDTF7BROGXBP6Q6CEP7AE3XC3Y5,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 22.9 cm, Höhe: 5.9 cm",,Badisches Landesmuseum,
/1236/item_F7ZLSR3TEIGBORE6L75VT7X33PVF4QGD,gebrannt (Material/Technik); bemalt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 7.5 cm (Fuß); Höhe: 6.0 cm, Durchmesser: 7.1 cm (Deckel); Höhe: 20.0 cm, Durchmesser: 16.0 cm (Kanne)",,Badisches Landesmuseum,
/1236/item_FOA4SOYXDC3OYNAPW6QM46JFTQZWHSZJ,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Durchmesser: 3.6 cm (Standring); Höhe: 7.0 cm, Durchmesser: 6.7 cm (Tasse)",,Badisches Landesmuseum,
/1236/item_FOCHWN7EGF7BXBLTYCHMXZPXOIAQGMWR,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 13.5 cm, Durchmesser: 20.5 cm, Höhe: 24.5 cm; Höhe: 5.0 cm, Durchmesser: 21.5 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_FZPKWORBGP6TSFCHT5PXT2NQMMXUHUOS,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Höhe: 3.8 cm, Durchmesser: 6.0 cm (Deckel); Durchmesser: 5.0 cm (Standring); Höhe: 15.8 cm, Breite: 13.1 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_GFU775YPHO4P62JUOH2KVZZPMQRERZ7X,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; https://d-nb.info/gnd/4707892-3,"Höhe: 16.0 cm, Durchmesser: 11.3 cm",,Badisches Landesmuseum,
/1236/item_GHQMGAQTQ45X6XOHCFWM2D3CMRLEOM2H,http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik),"Durchmesser: 3.8 cm (Standring); Höhe: 7.0 cm, Durchmesser: 6.9 cm (Gesamt)",,Badisches Landesmuseum,
/1236/item_GQYMSOG7N5Z7VJZ7CWBYYWTZETOH57SU,https://d-nb.info/gnd/4127928-1,"Höhe: 25.5 cm, Durchmesser: 12.8 cm",,Badisches Landesmuseum,
/1236/item_GSVQWNFSDMW5UTAODBJF23ROQSG7WP3W,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 4.7 cm, Durchmesser: 7.4 cm",,Badisches Landesmuseum,
/1236/item_GSXKV6NJPJVMMFMCSK3LEPFHZA4EWUTI,https://d-nb.info/gnd/4127840-9; Mattglasur (Material/Technik); Farbglasur (Material/Technik); gegossen (Material/Technik); https://d-nb.info/gnd/4021190-3,"Höhe: 12.7 cm, Durchmesser: 16.3 cm",,Badisches Landesmuseum,
/1236/item_HD7A46ERNYJOTUSPGDRQUGW7ZGMKSYR5,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 18.8 cm (Gesamt); Höhe: 16.6 cm, Durchmesser: 12.2 cm, Breite: 22.7 cm (Kanne); Höhe: 4.7 cm, Durchmesser: 6.8 cm (Deckel)",,Badisches Landesmuseum,
/1236/item_HGJT6TDUKQVZSXJQ4IKZFW7UB2F6BDZN,http://data.europeana.eu/concept/1771; http://data.europeana.eu/concept/1757; https://d-nb.info/gnd/4438236-4; https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); gebrannt (Material/Technik); bemalt (Material/Technik); https://d-nb.info/gnd/4157819-3,"Höhe: 24.4 cm (Gesamt); Höhe: 19.8 cm, Durchmesser: 16.0 cm (Gefäß); Höhe: 6.0 cm, Durchmesser: 8.3 cm (Deckel); Durchmesser: 8.0 cm (Standring)",,Badisches Landesmuseum,
/1236/item_HOT7SA3F34IRXMYPTV7H77INPPY55MAE,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; glasiert (Material/Technik); geformt (Material/Technik); http://data.europeana.eu/concept/1757,"Durchmesser: 24.3 cm, Höhe: 2.4 cm",,Badisches Landesmuseum,
/1236/item_HRFS5UJPEV4EINAZJGQ2ZUIN22R6S2KE,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Höhe: 7.6 cm, Durchmesser: 9.5 cm, Länge: 11.5 cm",,Badisches Landesmuseum,
/1236/item_I22N2KDHBVXGHLMLEQ3AL6NWV3UBCTEY,https://d-nb.info/gnd/4410323-2; https://d-nb.info/gnd/4127928-1,"Durchmesser: 5.7 cm (Standring); Höhe: 17.5 cm, Durchmesser: 9.0 cm (Gesamt); Durchmesser: 5.9 cm (Hals)",,Badisches Landesmuseum,
/1236/item_I36Q7VDBNTXVZ3CDBVCDHWLBMHULV5VS,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Länge: 12.0 cm, Höhe: 5.5 cm, Breite: 5.2 cm",,Badisches Landesmuseum,
/1236/item_I3LFRZAGKWJ7ABCUXK5OFBNNTAGSVFQR,gebrannt (Material/Technik); https://d-nb.info/gnd/4046851-3; gegossen (Material/Technik); glasiert (Material/Technik); http://data.europeana.eu/concept/1757,"Länge: 20.0 cm, Höhe: 9.7 cm, Breite: 11.5 cm",,Badisches Landesmuseum,
